,movie,year,imdb,metascore,votes
1291,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,405413
1292,Justice League,(2017),6.4,45,367660
1293,The Shape of Water,(2017),7.3,87,354434
1294,John Wick: Chapter 2,(2017),7.5,75,348314
1295,Coco,(I) (2017),8.4,81,346512
1296,Jumanji: Welcome to the Jungle,(2017),6.9,58,305162
1297,Beauty and the Beast,(I) (2017),7.1,65,261821
1298,Kong: Skull Island,(2017),6.6,62,260191
1299,Kingsman: The Golden Circle,(2017),6.7,44,259525
1300,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,39,252294
1301,Alien: Covenant,(2017),6.4,65,246325
1302,Lady Bird,(2017),7.4,94,225123
1303,The Greatest Showman,(2017),7.6,48,223126
1304,War for the Planet of the Apes,(2017),7.4,82,220475
1305,Murder on the Orient Express,(2017),6.5,52,200822
1306,Life,(I) (2017),6.6,54,200214
1307,The Fate of the Furious,(2017),6.7,56,197915
